Gender,Age,Dur,PPV
Male,19,4,3.822
Male,19,5,4.707
Male,19,6,5.562
Male,19,7,6.395
Male,19,8,7.203
Male,19,9,7.984
Male,19,10,8.74
Male,19,11,9.48
Male,19,12,10.19
Male,19,13,10.88
Male,19,14,11.555
Male,19,15,12.2
Male,19,16,12.836
Male,19,17,13.445
Male,19,18,14.04
Male,19,19,14.61
Male,19,20,15.164
Male,19,21,15.7
Male,19,22,16.23
Male,19,23,16.73
Male,19,24,17.22
Male,19,25,17.7
Male,19,26,18.16
Male,19,27,18.61
Male,19,28,19.03
Male,19,29,19.45
Male,19,30,19.86
Male,19,31,20.23
Male,19,32,20.61
Male,19,33,20.98
Male,19,34,21.33
Male,19,35,21.66
Male,19,36,21.98
Male,19,37,22.3
Male,19,38,22.6
Male,19,39,22.89
Male,19,40,23.16
Male,19,41,23.42
Male,19,42,23.67
Male,19,43,23.92
Male,19,44,24.16
Male,19,45,24.38
Male,19,46,24.58
Male,19,47,24.78
Male,19,48,24.95
Male,19,49,25.14
Male,19,50,25.3
Male,20,1,1.0
Male,20,2,1.97
Male,20,3,2.91
Male,20,4,3.822
Male,20,5,4.707
Male,20,6,5.562
Male,20,7,6.395
Male,20,8,7.203
Male,20,9,7.984
Male,20,10,8.74
Male,20,11,9.48
Male,20,12,10.19
Male,20,13,10.88
Male,20,14,11.555
Male,20,15,12.2
Male,20,16,12.836
Male,20,17,13.445
Male,20,18,14.03
Male,20,19,14.61
Male,20,20,15.164
Male,20,21,15.7
Male,20,22,16.22
Male,20,23,16.73
Male,20,24,17.22
Male,20,25,17.69
Male,20,26,18.16
Male,20,27,18.6
Male,20,28,19.03
Male,20,29,19.44
Male,20,30,19.84
Male,20,31,20.23
Male,20,32,20.6
Male,20,33,20.95
Male,20,34,21.31
Male,20,35,21.64
Male,20,36,21.97
Male,20,37,22.27
Male,20,38,22.56
Male,20,39,22.84
Male,20,40,23.12
Male,20,41,23.39
Male,20,42,23.62
Male,20,43,23.88
Male,20,44,24.1
Male,20,45,24.31
Male,20,46,24.52
Male,20,47,24.7
Male,20,48,24.89
Male,20,49,25.06
Male,20,50,25.22
Male,21,1,1.0
Male,21,2,1.97
Male,21,3,2.91
Male,21,4,3.822
Male,21,5,4.707
Male,21,6,5.562
Male,21,7,6.395
Male,21,8,7.203
Male,21,9,7.984
Male,21,10,8.74
Male,21,11,9.48
Male,21,12,10.19
Male,21,13,10.88
Male,21,14,11.555
Male,21,15,12.2
Male,21,16,12.83
Male,21,17,13.445
Male,21,18,14.03
Male,21,19,14.61
Male,21,20,15.164
Male,21,21,15.7
Male,21,22,16.22
Male,21,23,16.73
Male,21,24,17.22
Male,21,25,17.69
Male,21,26,18.14
Male,21,27,18.6
Male,21,28,19.02
Male,21,29,19.42
Male,21,30,19.83
Male,21,31,20.2
Male,21,32,20.58
Male,21,33,20.94
Male,21,34,21.28
Male,21,35,21.61
Male,21,36,21.94
Male,21,37,22.23
Male,21,38,22.53
Male,21,39,22.81
Male,21,40,23.08
